,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
792,frozenset({'berries'}),frozenset({'whipped/sour cream'}),0.033248601931875954,0.07168276563294357,0.009049313675648195,0.27217125382262997,3.796885505454703,0.006665961935742496,1.275461074109359
678,"frozenset({'other vegetables', 'tropical fruit'})",frozenset({'pip fruit'}),0.035892221657346214,0.07564819522114896,0.00945602440264362,0.26345609065155806,3.482648725212464,0.006740842611787944,1.2549853349497477
1004,"frozenset({'beef', 'whole milk'})",frozenset({'root vegetables'}),0.02125063548551093,0.10899847483477376,0.008032536858159633,0.37799043062200954,3.467850639148754,0.00571625000096922,1.4324562981502482
360,"frozenset({'other vegetables', 'tropical fruit'})",frozenset({'root vegetables'}),0.035892221657346214,0.10899847483477376,0.012302999491611592,0.34277620396600567,3.144779819035136,0.008390802072529218,1.355704906824676
776,"frozenset({'other vegetables', 'tropical fruit'})",frozenset({'citrus fruit'}),0.035892221657346214,0.08276563294356888,0.009049313675648195,0.2521246458923513,3.0462480250015664,0.0060786712324270645,1.226453528677728
172,frozenset({'beef'}),frozenset({'root vegetables'}),0.05246568378240976,0.10899847483477376,0.017386883579054397,0.3313953488372093,3.0403668431100312,0.011668204065608208,1.3326283680732078
710,"frozenset({'yogurt', 'whole milk'})",frozenset({'butter'}),0.05602440264361973,0.05541433655312659,0.009354346720894764,0.16696914700544463,3.0131037812817394,0.006249791617613345,1.1339143803033274
1064,"frozenset({'whipped/sour cream', 'tropical fruit'})",frozenset({'other vegetables'}),0.013828164717844434,0.1934926283680732,0.007829181494661922,0.5661764705882353,2.926088065283917,0.005153533557899547,1.8590678396939329
962,"frozenset({'other vegetables', 'pip fruit'})",frozenset({'root vegetables'}),0.026131164209456024,0.10899847483477376,0.00813421453990849,0.311284046692607,2.8558569022591325,0.005285957495420757,1.2937140789122212
80,"frozenset({'other vegetables', 'whole milk'})",frozenset({'root vegetables'}),0.07483477376715811,0.10899847483477376,0.023182511438739197,0.30978260869565216,2.84208204899416,0.015025635233513626,1.2908998474834772
